business_id,checkin_date
w8IHN58WRQ7-9euvBSkr0w,2016-07-14 2:32
w8IHN58WRQ7-9euvBSkr0w,2016-07-17 2:21
w8IHN58WRQ7-9euvBSkr0w,2016-07-17 19:34
w8IHN58WRQ7-9euvBSkr0w,2016-07-21 23:56
w8IHN58WRQ7-9euvBSkr0w,2016-07-26 2:41
w8IHN58WRQ7-9euvBSkr0w,2016-08-06 4:20
w8IHN58WRQ7-9euvBSkr0w,2016-08-08 2:17
w8IHN58WRQ7-9euvBSkr0w,2016-08-13 0:24
w8IHN58WRQ7-9euvBSkr0w,2016-08-13 4:11
w8IHN58WRQ7-9euvBSkr0w,2016-08-14 3:40
w8IHN58WRQ7-9euvBSkr0w,2016-08-15 1:59
w8IHN58WRQ7-9euvBSkr0w,2016-09-01 1:22
w8IHN58WRQ7-9euvBSkr0w,2016-09-02 1:18
w8IHN58WRQ7-9euvBSkr0w,2016-09-02 1:55
w8IHN58WRQ7-9euvBSkr0w,2016-09-08 3:18
w8IHN58WRQ7-9euvBSkr0w,2016-09-08 23:47
w8IHN58WRQ7-9euvBSkr0w,2016-09-23 3:25
w8IHN58WRQ7-9euvBSkr0w,2016-09-26 4:51
w8IHN58WRQ7-9euvBSkr0w,2016-10-03 0:50
w8IHN58WRQ7-9euvBSkr0w,2016-10-10 4:37
w8IHN58WRQ7-9euvBSkr0w,2016-10-23 4:27
w8IHN58WRQ7-9euvBSkr0w,2016-10-30 0:20
w8IHN58WRQ7-9euvBSkr0w,2016-11-05 0:28
w8IHN58WRQ7-9euvBSkr0w,2016-11-05 2:45
w8IHN58WRQ7-9euvBSkr0w,2016-11-06 2:58
w8IHN58WRQ7-9euvBSkr0w,2016-11-10 4:09
w8IHN58WRQ7-9euvBSkr0w,2016-11-10 5:16
w8IHN58WRQ7-9euvBSkr0w,2016-11-19 0:57
w8IHN58WRQ7-9euvBSkr0w,2016-12-16 3:21
w8IHN58WRQ7-9euvBSkr0w,2016-12-20 4:19
w8IHN58WRQ7-9euvBSkr0w,2017-01-08 1:48
w8IHN58WRQ7-9euvBSkr0w,2017-01-11 1:13
w8IHN58WRQ7-9euvBSkr0w,2017-01-22 3:13
w8IHN58WRQ7-9euvBSkr0w,2017-01-22 3:58
w8IHN58WRQ7-9euvBSkr0w,2017-01-24 20:35
w8IHN58WRQ7-9euvBSkr0w,2017-01-24 20:35
w8IHN58WRQ7-9euvBSkr0w,2017-01-31 19:04
w8IHN58WRQ7-9euvBSkr0w,2017-02-23 5:30
w8IHN58WRQ7-9euvBSkr0w,2017-03-06 4:02
w8IHN58WRQ7-9euvBSkr0w,2017-03-24 0:13
w8IHN58WRQ7-9euvBSkr0w,2017-03-29 0:58
w8IHN58WRQ7-9euvBSkr0w,2017-04-05 0:45
w8IHN58WRQ7-9euvBSkr0w,2017-04-05 0:46
w8IHN58WRQ7-9euvBSkr0w,2017-04-09 3:26
w8IHN58WRQ7-9euvBSkr0w,2017-04-09 3:30
w8IHN58WRQ7-9euvBSkr0w,2017-04-09 3:31
w8IHN58WRQ7-9euvBSkr0w,2017-04-09 3:40
w8IHN58WRQ7-9euvBSkr0w,2017-04-14 23:51
w8IHN58WRQ7-9euvBSkr0w,2017-04-14 23:52
w8IHN58WRQ7-9euvBSkr0w,2017-05-03 3:10
w8IHN58WRQ7-9euvBSkr0w,2017-05-05 1:56
w8IHN58WRQ7-9euvBSkr0w,2017-05-05 2:01
w8IHN58WRQ7-9euvBSkr0w,2017-05-06 3:17
w8IHN58WRQ7-9euvBSkr0w,2017-05-11 18:33
w8IHN58WRQ7-9euvBSkr0w,2017-05-20 2:43
w8IHN58WRQ7-9euvBSkr0w,2017-05-21 23:49
w8IHN58WRQ7-9euvBSkr0w,2017-06-03 5:29
w8IHN58WRQ7-9euvBSkr0w,2017-06-10 17:24
w8IHN58WRQ7-9euvBSkr0w,2017-06-11 3:21
w8IHN58WRQ7-9euvBSkr0w,2017-06-18 5:45
w8IHN58WRQ7-9euvBSkr0w,2017-06-20 20:20
w8IHN58WRQ7-9euvBSkr0w,2017-06-27 18:37
w8IHN58WRQ7-9euvBSkr0w,2017-07-03 18:51
w8IHN58WRQ7-9euvBSkr0w,2017-07-17 3:26
w8IHN58WRQ7-9euvBSkr0w,2017-07-24 3:24
w8IHN58WRQ7-9euvBSkr0w,2017-07-26 2:27
w8IHN58WRQ7-9euvBSkr0w,2017-07-27 2:47
w8IHN58WRQ7-9euvBSkr0w,2017-07-29 0:11
w8IHN58WRQ7-9euvBSkr0w,2017-08-05 23:14
w8IHN58WRQ7-9euvBSkr0w,2017-08-07 1:26
w8IHN58WRQ7-9euvBSkr0w,2017-08-07 4:42
w8IHN58WRQ7-9euvBSkr0w,2017-08-09 18:51
w8IHN58WRQ7-9euvBSkr0w,2017-08-19 22:12
w8IHN58WRQ7-9euvBSkr0w,2017-08-19 22:55
w8IHN58WRQ7-9euvBSkr0w,2017-08-22 2:47
w8IHN58WRQ7-9euvBSkr0w,2017-08-26 0:36
w8IHN58WRQ7-9euvBSkr0w,2017-08-30 2:51
w8IHN58WRQ7-9euvBSkr0w,2017-08-31 19:38
w8IHN58WRQ7-9euvBSkr0w,2017-09-03 2:43
w8IHN58WRQ7-9euvBSkr0w,2017-09-03 23:47
w8IHN58WRQ7-9euvBSkr0w,2017-09-09 0:45
w8IHN58WRQ7-9euvBSkr0w,2017-09-09 22:15
w8IHN58WRQ7-9euvBSkr0w,2017-09-15 0:30
w8IHN58WRQ7-9euvBSkr0w,2017-09-27 1:27
w8IHN58WRQ7-9euvBSkr0w,2017-10-12 4:26
w8IHN58WRQ7-9euvBSkr0w,2017-10-18 22:29
w8IHN58WRQ7-9euvBSkr0w,2017-11-04 1:00
w8IHN58WRQ7-9euvBSkr0w,2017-11-04 1:01
w8IHN58WRQ7-9euvBSkr0w,2017-11-05 4:33
w8IHN58WRQ7-9euvBSkr0w,2017-11-05 4:34
w8IHN58WRQ7-9euvBSkr0w,2017-11-19 0:09
w8IHN58WRQ7-9euvBSkr0w,2017-11-24 0:44
w8IHN58WRQ7-9euvBSkr0w,2017-11-24 1:15
w8IHN58WRQ7-9euvBSkr0w,2017-11-30 2:30
w8IHN58WRQ7-9euvBSkr0w,2017-12-17 3:20
w8IHN58WRQ7-9euvBSkr0w,2017-12-24 18:38
